018162229/02/256301/03/2570403203   3214.00 250000.00
130066529/02/256301/06/2563403203   6645.00 500000.00
130002929/02/256301/08/2567403203   7371.00 570000.00
120194829/02/256331/07/2571403203  11095.00 920000.00
013240129/02/256301/10/2571403203   4429.00 360000.00
013240129/02/256329/01/2564403203      0.00 100000.00
018846229/02/256330/08/2572403203      0.00 730000.00
018211929/02/256301/10/2572403203   8482.00 730000.00
014106229/02/256301/08/2566403203  21072.001180000.00
014106229/02/256301/09/2563403203   5769.00  45000.00
128006129/02/256331/01/2572403203  10109.00 870000.00
124061929/02/256301/09/2565403203   4120.00 310000.00
018261429/02/256301/08/2567403203   2850.00 144780.00
018261429/02/256301/10/2570403203   8928.00 760000.00
018881429/02/256329/05/2572403203      0.00 500000.00
018147629/02/256301/04/2571403203   2957.00 230000.00
018239129/02/256331/01/2572403203   9063.00 780000.00
018239129/02/256301/05/2563403203   3740.00  22000.00
129748029/02/256301/09/2565403203  11524.00 430000.00
018187829/02/256301/12/2565403203   7785.00 610000.00
018187829/02/256301/04/2563403203   6410.00  50000.00
129812329/02/256329/01/2566403203   8295.00 650000.00
129812329/02/256301/01/2566403203   2011.00  84360.00
016399329/02/256301/09/2570403203  13978.001010000.00
018865629/02/256301/11/2572403203   8482.00 730000.00
018915529/02/256301/09/2563403203   5769.00  45000.00
018915529/02/256301/10/2572403203   9063.00 780000.00
018916729/02/256301/03/2572403203   8366.00 720000.00
018300829/02/256301/07/2563403203   2890.00  17000.00
018300829/02/256301/06/2571403203   8366.00 720000.00
018931329/02/256301/06/2571403203   8134.00 700000.00
018823029/02/256301/09/2572403203   8938.00 760000.00
129767429/02/256331/08/2564403203   2222.00  50000.00
018533129/02/256331/10/2566403203   4279.00 220000.00
018533129/02/256301/10/2563403203   7219.00  70000.00
018532929/02/256301/04/2571403203   3214.00 250000.00
018532929/02/256301/10/2563403203   7051.00  75000.00
018307229/02/256329/11/2572403203      0.00 530000.00
017498029/02/256329/11/2569403203   8106.00 690000.00
018234129/02/256301/11/2572403203   8482.00 730000.00
018206629/02/256301/06/2568403203   4059.00 265000.00
130173629/02/256301/07/2570403203   3407.00 260000.00
130420729/02/256329/11/2571403203   6623.00 570000.00
018536729/02/256331/08/2566403203   2845.00 190000.00
018933729/02/256331/08/2570403203   7988.00 680000.00
018933729/02/256301/08/2563403203   5769.00  45000.00
130304529/02/256301/09/2567403203   6182.00 340000.00
129831729/02/256301/12/2572403203  11253.00 980000.00
129856329/02/256301/12/2572403203  11713.001020000.00
018935129/02/256329/07/2563403203      0.00  16000.00
018935129/02/256301/09/2570403203  11163.00 800000.00
018851529/02/256331/01/2572403203   6159.00 530000.00
017540329/02/256331/03/2571403203  10458.00 900000.00
017540329/02/256301/07/2565403203   1000.00  50500.00
017564729/02/256301/05/2572403203   6592.00 580000.00
110289329/02/256329/09/2565403203   9043.00 690000.00
110289329/02/256329/09/2563403203      0.00  45000.00
129925629/02/256301/03/2572403203   5909.00 490000.00
017528329/02/256301/11/2566403203   8017.00 620000.00
018842429/02/256301/09/2563403203   5769.00  45000.00
018842429/02/256331/03/2574403203   8270.00 920000.00
018842429/02/256331/03/2568403203   1834.00 137000.00
018221229/02/256301/07/2563403203   5769.00  45000.00
018221229/02/256331/01/2572403203   9296.00 800000.00
019189729/02/256301/06/2571403203   3891.00 310000.00
017529529/02/256301/11/2572403203   9296.00 800000.00
018198329/02/256301/09/2563403203   5769.00  45000.00
018198329/02/256301/09/2569403203  11625.00 840000.00
018923429/02/256331/03/2570403203   7636.00 650000.00
018932529/02/256331/01/2572403203   8018.00 690000.00
018932529/02/256301/10/2568403203   3175.00 200000.00
018932529/02/256301/07/2563403203   4080.00  24000.00
127911529/02/256301/09/2563403203   6856.00  60000.00
127911529/02/256301/05/2570403203   9398.00 800000.00
018273129/02/256301/10/2567403203   8534.00 660000.00
018929629/02/256301/10/2571403203   8366.00 720000.00
018929629/02/256301/06/2563403203   5769.00  45000.00
016865629/02/256301/09/2570403203   4582.00 360000.00
129758329/02/256301/12/2572403203  12172.001060000.00
018883829/02/256331/03/2572403203   8482.00 730000.00
130245529/02/256331/08/2567403203  11047.00 600000.00
017765729/02/256331/01/2572403203  10922.00 940000.00
129903629/02/256331/08/2572403203   8134.00 700000.00
018872329/02/256301/10/2572403203   8482.00 730000.00
018819929/02/256301/04/2571403203   6030.00 500000.00
018817529/02/256301/01/2572403203   7088.00 610000.00
130297429/02/256301/03/2568403203   5341.00 400000.00
130347329/02/256301/05/2571403203   4142.00 330000.00
016402629/02/256331/03/2564403203   3055.00 220000.00
013528329/02/256330/01/2564403203      0.00 100000.00
013528329/02/256301/02/2572403203   4959.00 420000.00
018893129/02/256301/11/2572403203   8482.00 730000.00
018715729/02/256331/05/2566403203   2723.00 140000.00
110247729/02/256301/09/2569403203  11006.00 840000.00
016413129/02/256331/08/2569403203  11078.00 820000.00
018913129/02/256301/10/2572403203   9063.00 780000.00
130057429/02/256301/12/2563403203   7402.00 580000.00
130057429/02/256301/06/2563403203   4590.00  27000.00
130271629/02/256301/12/2570403203   2123.00 160000.00
122558029/02/256301/09/2567403203   8329.00 610000.00
122558029/02/256301/08/2565403203   2632.00  85540.00
018264029/02/256330/01/2564403203   7274.00 570000.00
018264029/02/256301/03/2563403203   2550.00  15000.00
018200429/02/256301/11/2571403203   7669.00 660000.00
018188029/02/256301/02/2571403203   3600.00 280000.00
130354029/02/256331/01/2570403203   7871.00 670000.00
130354029/02/256301/10/2563403203   1453.00  47050.00
016842429/02/256331/08/2572403203   9296.00 800000.00
016444229/02/256331/08/2581403203   5395.00 730000.00
